en,de,seq2seq_attention_prediction,transformer_prediction
People are looking at children's toys in a store.,Leute betrachten Kinderspielzeug in einem Geschäft.,personen schauen sich in einem in einem laden .,Die Leute schauen sich Kinderspielzeug in einem Laden an.
A boy poses with a large green insect on his nose.,Ein Junge posiert mit einem großen grünen Insekt auf der Nase.,ein junge mit mit großen großen grünen auf seinem . .,Ein Junge posiert mit einem großen grünen Insekt auf der Nase.
# 8 for Iowa State stiff arms a Texas AM player attempting to tackle him.,"Die # 8 von Iowa State streckt den Arm in Richtung eines Spielers der Texas AM beim Versuch, ihn zu tackeln.","einige personen posieren für ein für , um einen spieler zu schlagen .","# 8 für Iowa State steife Arme ein Texas AM Spieler versucht, ihn zu bekämpfen."
A boy in an orange shirt is pouring Legos from a bag.,Ein Junge in einem orangefarbenen Shirt schüttet Legosteine aus einer Tasche.,ein junge in einem orangefarbenen t-shirt macht ein aus einer tasche .,Ein Junge in einem orangefarbenen Hemd gießt Legos aus einer Tasche.
Two people are kissing on a sidewalk in front of a limo while people walk by.,Zwei Personen küssen sich auf einem Gehsteig vor eine Limousine während Leute vorbeigehen.,"zwei personen befinden sich vor einem bürgersteig vor einem gepflasterten , während vorbeigehen vorbeigehen .","Zwei Menschen küssen sich auf einem Bürgersteig vor einer Limousine, während die Leute vorbeigehen."
A woman in a red vest working at a computer.,Eine Frau in einer roten Weste arbeitet am Computer.,eine frau in einem roten arbeitet an einem computer .,"Eine Frau in einer roten Weste, die an einem Computer arbeitet."
Two dogs are nuzzling each other nose to nose.,Zwei Hunde beschnuppern sich gegenseitig Nase an Nase.,zwei hunde beißen sich miteinander .,Zwei Hunde sprengen sich gegenseitig Nase zu Nase.
Two medium sized dogs run across the snow.,Zwei mittelgroße Hunde laufen über den Schnee.,zwei kleine hunde laufen über den schnee .,Zwei mittelgroße Hunde laufen über den Schnee.
Two bicyclists with helmets on are riding past some empty country fields.,Zwei Radfahrer mit Helmen fahren an ein paar abgeernteten Feldern vorbei.,zwei radfahrer mit sonnenbrillen auf einem fahrrad und tragen .,Zwei Fahrradfahrer mit Helmen fahren an leeren Feldern vorbei.
A group of men walk down a city street.,Eine Gruppe von Männern geht auf einer städtischen Straße.,eine gruppe von männern geht abends straße entlang .,Eine Gruppe von Männern geht eine Stadtstraße entlang.
Two women are strapped to a tree in some type of construction job.,Zwei Frauen werden bei einer Art Baumaßnahme an einem Baum festgeschnallt.,zwei frauen versammeln sich vor einem baum vor einem baum .,Zwei Frauen werden in irgendeiner Art von Bautätigkeit an einen Baum gefesselt.
A black and white dog jumping over a steeple vault at a competition,Ein schwarz-weißer Hund springt bei einem Wettbewerb über ein Hindernis,ein schwarz-weißer hund springt über einen zaun im freien in einem . .,Ein schwarz-weißer Hund springt über einen Turmgewölbe bei einem Wettbewerb
A man riding his bike up the ramp.,Ein Mann fährt sein Fahrrad die Rampe hoch.,ein mann fährt sein fahrrad fahrrad auf seinem rampe .,Ein Mann fährt mit dem Fahrrad die Rampe hinauf.
"A young girl with curly blond-hair and wearing a white top lies in the grass, holding a flower stem.",Ein junges Mädchen mit gelockten blonden Haaren in einem weißen Top liegt im Gras und hält einen Blumenstiel.,"ein junges mädchen mit lockigen haaren und und weißen hosen , die in gras gras , hält eine . .",Ein junges Mädchen mit lockigem blondem Haar und einem weißen Oberteil liegt im Gras und hält einen Blütenstiel.
A man using the bathroom mirror to tie his tie.,"Ein Mann verwendet den Badezimmerspiegel, um seine Krawatte zu binden.","ein mann benutzt den den , um die seine reisen .","Ein Mann, der den Badezimmerspiegel benutzt, um seine Krawatte zu binden."
The man in the white t-shirt is starting to climb a rock.,"Der Mann im weißen T-Shirt macht sich daran, auf einen Fels zu klettern.",der mann im weißen t-shirt macht einen mann einen felsen .,Der Mann im weißen T-Shirt beginnt einen Felsen zu besteigen.
A girl wearing black athletic clothing with the number 1102 on her jersey runs across some grass.,Ein Mädchen in schwarzer Sportbekleidung mit der Nummer 1102 auf dem Trikot läuft über einen Rasen.,ein mädchen mit schwarzer kleidung mit dem nummer nummer auf dem kopf auf ihrem kopf .,Ein Mädchen trägt schwarze sportliche Kleidung mit der Nummer 1102 auf ihrem Trikot läuft über etwas Gras.
A little girl wearing pink is holding on to a bar.,Ein kleines Mädchen in Pink hält sich an einer Stange fest.,ein kleines mädchen mit rosa hält hält ein einer kneipe .,"Ein kleines Mädchen, das rosa trägt, hält an einer Bar fest."
Two people standing outside next to blow up toys and dumpsters.,Zwei Personen stehen draußen neben aufblasbaren Spielsachen und Baggern.,zwei personen stehen draußen neben einem und und halten .,"Zwei Leute stehen draußen, um Spielzeug und Müllcontainer in die Luft zu jagen."
A man in a green shirt is walking on the beach carrying his sneakers.,Ein Mann in einem grünen Shirt spaziert am Strand mit seinen Turnschuhen in der Hand.,ein mann in einem grünen hemd geht auf seinem strand .,Ein Mann in einem grünen Hemd läuft am Strand und trägt seine Turnschuhe.
Two men in white plastic chairs sitting in a doorway.,Zwei Männer auf weißen Plastikstühlen sitzen in einem Eingang.,"zwei männer in weißen hemden , sitzen in einem . .",Zwei Männer in weißen Plastikstühlen sitzen in einer Tür.
A man sweeps a sidewalk outside of a brick building during the day.,Ein Mann kehrt tagsüber den Gehsteig vor einem Ziegelbau.,"ein mann kehrt vor einem einem gebäude , die an der . .",Ein Mann fegt tagsüber einen Bürgersteig außerhalb eines Ziegelgebäudes.
Two boys are looking up at the sky and waving theirs arms and they are dressed in clothes to keep them warm.,Zwei Jungen in Winterkleidung sehen zum Himmel hoch und winken mit den Armen.,"zwei jungen schauen sich die und und die andere ein schauen , während sie in der andere ihnen , als sie .","Zwei Jungs schauen auf den Himmel und winken ihre Arme und sie sind in Kleidung gekleidet, um sie warm zu halten."
A worker in a yellow jacket is hoisted up high to work on a building.,"Ein Arbeiter in einer gelben Jacke wird auf ein Gebäude gehoben, um zu arbeiten.","ein arbeiter in gelber jacke , auf auf einem gebäude .","Ein Arbeiter in einer gelben Jacke wird hochgezogen, um an einem Gebäude zu arbeiten."
A dog jumps over an obstacle outside.,Ein Hund springt im Freien über ein Hindernis.,ein hund springt über einen busch im freien .,Ein Hund springt über ein Hindernis draußen.
"A large bull targets a man, inches away, in a rodeo with his horns, while a rodeo clown runs to help.","Ein großer Stier versucht einen Mann bei einem Rodeo auf die Hörner zu nehmen während ein Rodeoclown herbeiläuft, um zu helfen.","ein großer kran mann ein mann , , mit einem mit einem anzug und sein dabei eine . .","Ein großer Bulle zielt auf einen Mann in Zentimeter Entfernung, in einem Rodeo mit seinen Hörnern, während ein Rodeo-Clown zur Hilfe rennt."
Two guys and a girl smiling.,Zwei Typen und eine Frau lächeln.,zwei männer und ein mädchen lächeln .,Zwei Typen und ein Mädchen lächelnd.
A man wearing a backpack is walking down the street.,Ein Mann mit einem Rucksack geht eine Straße hinunter.,ein mann mit einem rucksack geht die straße entlang .,"Ein Mann, der einen Rucksack trägt, geht die Straße entlang."
"Marathon runners are racing on a city street, with other people standing around.",Marathonläuferinnen laufen auf einer städtischen Straße während andere Personen um sie herum stehen.,einige auf auf einer stadt straße mit vielen straße mit vielen .,"Marathonläufer fahren auf einer Stadtstraße, mit anderen Leuten, die herumstehen."
A pretty woman plays a harpsichord.,Eine schöne Frau spielt auf einer Harfe.,eine frau frau spielt auf einem . .,Eine hübsche Frau spielt ein Cembalo.
A man clinks bottles with another person while smiling in a restaurant.,Ein Mann stößt in einem Restaurant lächelnd mit einer anderen Person an.,"ein mann mit turban mit einer anderen in in einer , während andere .","Ein Mann knickt Flaschen mit einer anderen Person, während er in einem Restaurant lächelt."
Two silhouetted people paddle a canoe on the ocean during sunset.,Zwei Silhouetten paddeln in einem Kanu auf dem Ozean bei Sonnenuntergang.,"zwei personen , die auf einem kanu auf dem meer .",Zwei silhouetted Leute paddeln ein Kanu auf dem Ozean während des Sonnenuntergangs.
Two officers with orange jackets stand outside a white tent with onlookers.,Zwei Polizisten in orangefarbenen Warnwesten stehen mit Passanten vor einem weißen Zelt.,zwei offiziere mit orangefarbenen westen stehen draußen mit einem weißen .,Zwei Offiziere mit orangen Jacken stehen vor einem weißen Zelt mit Zuschauern.
Little girl kicks black object at karate class.,Ein kleines Mädchen tritt in einem Karatekurs einen schwarzen Gegenstand.,"ein kleines mädchen , das schwarzen schwarzen auf der nacht .",Kleines Mädchen tritt schwarzes Objekt im Karate-Kurs.
"Three men in red and white striped shirts, white pants, and black hats hold flags.","Drei Männer in rot und weiß gestreiften Shirts, weißen Hosen und mit schwarzen Hüten halten Flaggen.","drei männer in rot und weißen hemden und weißen hosen , .","Drei Männer in rot-weiß gestreiften Hemden, weißen Hosen und schwarzen Hüten halten Flaggen."
